gene_symbol	moi
SVBP	BIALLELIC, autosomal or pseudoautosomal
SYP	X-LINKED: hemizygous mutation in males, biallelic mutations in females
TAOK1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TAOK1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TBC1D32	BIALLELIC, autosomal or pseudoautosomal
TCF20	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TCF20	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TFAM	BIALLELIC, autosomal or pseudoautosomal
TLK2	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
TLK2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TNRC6B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TNRC6B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TOMM7	BIALLELIC, autosomal or pseudoautosomal
TPM3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TPM3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TRMT10C	BIALLELIC, autosomal or pseudoautosomal
TTI2	BIALLELIC, autosomal or pseudoautosomal
UPB1	BIALLELIC, autosomal or pseudoautosomal
UPF3B	X-LINKED: hemizygous mutation in males, biallelic mutations in females
UROD	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
VKORC1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
WAC	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
WAC	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
WDR83OS	BIALLELIC, autosomal or pseudoautosomal
ZFHX3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ZMYND11	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ZMYND11	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ZMYND8	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ZMYND8	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ZNF711	X-LINKED: hemizygous mutation in males, biallelic mutations in females
ACBD5	BIALLELIC, autosomal or pseudoautosomal
ACTL6A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ADSSL1	BIALLELIC, autosomal or pseudoautosomal
AGO2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ALPK3	BIALLELIC, autosomal or pseudoautosomal
ALPK3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ANK3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ARSK	BIALLELIC, autosomal or pseudoautosomal
ASCC1	BIALLELIC, autosomal or pseudoautosomal
ATP5E	BIALLELIC, autosomal or pseudoautosomal
ATP5E	Unknown
ATP9A	BIALLELIC, autosomal or pseudoautosomal
ATXN7L3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
BCAT2	BIALLELIC, autosomal or pseudoautosomal
BNC2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
BNC2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
BRSK2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
C12ORF4	BIALLELIC, autosomal or pseudoautosomal
CARS	BIALLELIC, autosomal or pseudoautosomal
CCDC47	BIALLELIC, autosomal or pseudoautosomal
CFH	BIALLELIC, autosomal or pseudoautosomal
CFH	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CFH	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CFL2	BIALLELIC, autosomal or pseudoautosomal
CHRNB1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CLEC16A	BIALLELIC, autosomal or pseudoautosomal
CMPK2	BIALLELIC, autosomal or pseudoautosomal
COL4A5	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
COX18	BIALLELIC, autosomal or pseudoautosomal
COX4I1	BIALLELIC, autosomal or pseudoautosomal
COX5A	BIALLELIC, autosomal or pseudoautosomal
CREB3L3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CXORF56	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
DCPS	BIALLELIC, autosomal or pseudoautosomal
DDB1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DDB1	Unknown
DDX39B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DOCK4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DOCK4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EEF1D	BIALLELIC, autosomal or pseudoautosomal
ELP2	BIALLELIC, autosomal or pseudoautosomal
EZH1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
FBXL3	BIALLELIC, autosomal or pseudoautosomal
FDX2	BIALLELIC, autosomal or pseudoautosomal
GPIHBP1	BIALLELIC, autosomal or pseudoautosomal
GREB1L	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GREB1L	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GRIA1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GRIA1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GSTZ1	BIALLELIC, autosomal or pseudoautosomal
GTF3C5	BIALLELIC, autosomal or pseudoautosomal
HIKESHI	BIALLELIC, autosomal or pseudoautosomal
HIST1H4E	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HNMT	BIALLELIC, autosomal or pseudoautosomal
HNRNPA2B1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
HNRNPA2B1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HNRNPC	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
IREB2	BIALLELIC, autosomal or pseudoautosomal
ISCA1	BIALLELIC, autosomal or pseudoautosomal
JARID2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
JARID2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KDM5B	BIALLELIC, autosomal or pseudoautosomal
KDM5B	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
KIAA1161	BIALLELIC, autosomal or pseudoautosomal
KLF7	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KLF7	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LINGO4	BIALLELIC, autosomal or pseudoautosomal
LMF1	BIALLELIC, autosomal or pseudoautosomal
LMOD2	BIALLELIC, autosomal or pseudoautosomal
LMOD3	BIALLELIC, autosomal or pseudoautosomal
LRRC7	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
LYRM4	BIALLELIC, autosomal or pseudoautosomal
MAP3K20	BIALLELIC, autosomal or pseudoautosomal
MED12L	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MED13	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MED16	BIALLELIC, autosomal or pseudoautosomal
MED23	BIALLELIC, autosomal or pseudoautosomal
METTL23	BIALLELIC, autosomal or pseudoautosomal
METTL5	BIALLELIC, autosomal or pseudoautosomal
MPP5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MRM2	BIALLELIC, autosomal or pseudoautosomal
MRPL39	BIALLELIC, autosomal or pseudoautosomal
MRPS2	BIALLELIC, autosomal or pseudoautosomal
MTSS1L	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MYO18B	BIALLELIC, autosomal or pseudoautosomal
NAA20	BIALLELIC, autosomal or pseudoautosomal
NAV3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
NCKAP1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NCKAP1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NDST1	BIALLELIC, autosomal or pseudoautosomal
NDUFA13	BIALLELIC, autosomal or pseudoautosomal
NDUFA8	BIALLELIC, autosomal or pseudoautosomal
NEMF	BIALLELIC, autosomal or pseudoautosomal
NFS1	BIALLELIC, autosomal or pseudoautosomal
NHLRC2	BIALLELIC, autosomal or pseudoautosomal
NKAP	X-LINKED: hemizygous mutation in males, biallelic mutations in females
NKAP	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
NSUN3	BIALLELIC, autosomal or pseudoautosomal
NTNG2	BIALLELIC, autosomal or pseudoautosomal
OGDH	BIALLELIC, autosomal or pseudoautosomal
OGT	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
PDZD8	BIALLELIC, autosomal or pseudoautosomal
PIEZO1	BIALLELIC, autosomal or pseudoautosomal
PIEZO1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PIEZO1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PLEKHG2	BIALLELIC, autosomal or pseudoautosomal
POLR2A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
POLR2A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
POU3F2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PPP1R15B	BIALLELIC, autosomal or pseudoautosomal
PRKAR1B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PRKAR1B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PSMC5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PSMC5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PSMD12	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PTPN4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PUS7	BIALLELIC, autosomal or pseudoautosomal
RBL2	BIALLELIC, autosomal or pseudoautosomal
RBSN	BIALLELIC, autosomal or pseudoautosomal
RFC4	BIALLELIC, autosomal or pseudoautosomal
RFX3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RFX3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RFX4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RFX4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RFX7	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RFX7	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPL11	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RPL11	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPL35A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RPL35A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPL5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RPL5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPS10	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RPS10	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPS17	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPS24	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RPS24	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPS26	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RPS26	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPS7	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RPS7	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RRAGC	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RRAGC	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RSRC1	BIALLELIC, autosomal or pseudoautosomal
SIN3B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SIN3B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC1A1	BIALLELIC, autosomal or pseudoautosomal
SLC25A32	BIALLELIC, autosomal or pseudoautosomal
SLC25A36	BIALLELIC, autosomal or pseudoautosomal
SLC26A4	BIALLELIC, autosomal or pseudoautosomal
SMARCA1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
SMARCA5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SMN1	BIALLELIC, autosomal or pseudoautosomal
SQOR	BIALLELIC, autosomal or pseudoautosomal
SRRM2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SRRM2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SRSF1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SRSF1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STAC3	BIALLELIC, autosomal or pseudoautosomal
STX1A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
STX1A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SUPT16H	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TAF2	BIALLELIC, autosomal or pseudoautosomal
TAF4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TAF4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TAF6	BIALLELIC, autosomal or pseudoautosomal
TAMM41	BIALLELIC, autosomal or pseudoautosomal
TAOK2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TBC1D7	BIALLELIC, autosomal or pseudoautosomal
TCEAL1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
TCEAL1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
TCF7L2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TCF7L2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TIMMDC1	BIALLELIC, autosomal or pseudoautosomal
TMEM147	BIALLELIC, autosomal or pseudoautosomal
TNNT3	BIALLELIC, autosomal or pseudoautosomal
TNNT3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TNNT3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TPM2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TPM2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TPM2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TRMT1	BIALLELIC, autosomal or pseudoautosomal
TTC5	BIALLELIC, autosomal or pseudoautosomal
TTI1	BIALLELIC, autosomal or pseudoautosomal
UBE2T	BIALLELIC, autosomal or pseudoautosomal
UBE4A	BIALLELIC, autosomal or pseudoautosomal
UPF1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
UPF1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
UQCRC2	BIALLELIC, autosomal or pseudoautosomal
WBP11	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
WDFY3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
WDFY3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
WDR5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
WDR5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
WIPI2	BIALLELIC, autosomal or pseudoautosomal
ZFHX4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ZMYM3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ZNF292	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FOXC1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FOXC1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FOXC1	Unknown
DCTN1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DCTN1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DCTN1	Other - please specify in evaluation comments
XK	X-LINKED: hemizygous mutation in males, biallelic mutations in females
XK	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ADGRV1	BIALLELIC, autosomal or pseudoautosomal
ADGRV1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PITX3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RNU4ATAC	BIALLELIC, autosomal or pseudoautosomal
SIX1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SIX1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TYRP1	BIALLELIC, autosomal or pseudoautosomal
C8ORF37	BIALLELIC, autosomal or pseudoautosomal
CDH23	BIALLELIC, autosomal or pseudoautosomal
DCC	BIALLELIC, autosomal or pseudoautosomal
DCC	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
DCC	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FOXC2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FOXC2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FOXC2	Unknown
LAMB2	BIALLELIC, autosomal or pseudoautosomal
LDB3	BIALLELIC, autosomal or pseudoautosomal
LDB3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
LDB3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LRP5	BIALLELIC, autosomal or pseudoautosomal
LRP5	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
LRP5	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
LRP5	Unknown
MYO7A	BIALLELIC, autosomal or pseudoautosomal
MYO7A	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PITX2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TBX1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TBX1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TRAPPC11	BIALLELIC, autosomal or pseudoautosomal
TYR	BIALLELIC, autosomal or pseudoautosomal
ABCC8	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ABCC8	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
BRCA1	BIALLELIC, autosomal or pseudoautosomal
CASR	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CDH3	BIALLELIC, autosomal or pseudoautosomal
COL11A2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
COL4A3	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
COL4A3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
COL4A3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
COL4A4	BIALLELIC, autosomal or pseudoautosomal
COL4A4	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
COL4A4	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
COL4A4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
COL9A3	BIALLELIC, autosomal or pseudoautosomal
COL9A3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
COL9A3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
COL9A3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FGF14	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FLT4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FLT4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FRMD7	X-LINKED: hemizygous mutation in males, biallelic mutations in females
FRMD7	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
GNAI3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GNAI3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GNAI3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KBTBD13	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KBTBD13	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MYO5B	BIALLELIC, autosomal or pseudoautosomal
NHP2	BIALLELIC, autosomal or pseudoautosomal
NLRP3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NLRP3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PMS2	BIALLELIC, autosomal or pseudoautosomal
PMS2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
REEP1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
REEP1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC4A1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SLC4A1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SLC4A1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STAT1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
STAT1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
STAT1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
THAP1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
THAP1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TREM2	BIALLELIC, autosomal or pseudoautosomal
WASHC5	BIALLELIC, autosomal or pseudoautosomal
WASHC5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
WRAP53	BIALLELIC, autosomal or pseudoautosomal
WRN	BIALLELIC, autosomal or pseudoautosomal
ZMPSTE24	BIALLELIC, autosomal or pseudoautosomal
ATP6V1B1	BIALLELIC, autosomal or pseudoautosomal
ATP6V1B1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CHRNA4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CHRNB2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CLCN5	X-LINKED: hemizygous mutation in males, biallelic mutations in females
CLCN5	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
CRYAB	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CRYAB	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CRYAB	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CYP1B1	BIALLELIC, autosomal or pseudoautosomal
DDB2	BIALLELIC, autosomal or pseudoautosomal
DDHD1	BIALLELIC, autosomal or pseudoautosomal
DOCK8	BIALLELIC, autosomal or pseudoautosomal
DOCK8	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FBN1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
FBN1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FBN1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FBXO7	BIALLELIC, autosomal or pseudoautosomal
FRRS1L	BIALLELIC, autosomal or pseudoautosomal
HCN2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
IFT80	BIALLELIC, autosomal or pseudoautosomal
INF2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KCNE1	BIALLELIC, autosomal or pseudoautosomal
KCNE1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
KCNE1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
KCNQ1	BIALLELIC, autosomal or pseudoautosomal
KCNQ1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
KCNQ1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
KCNQ1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KCNQ1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MFRP	BIALLELIC, autosomal or pseudoautosomal
NBAS	BIALLELIC, autosomal or pseudoautosomal
NPHS2	BIALLELIC, autosomal or pseudoautosomal
NR5A1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
NR5A1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NR5A1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PDE10A	BIALLELIC, autosomal or pseudoautosomal
PDE10A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PIK3C2A	BIALLELIC, autosomal or pseudoautosomal
PLCE1	BIALLELIC, autosomal or pseudoautosomal
PNKD	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PNKD	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
POC1A	BIALLELIC, autosomal or pseudoautosomal
POLR1D	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
POLR1D	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
POLR1D	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
POU1F1	BIALLELIC, autosomal or pseudoautosomal
POU1F1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PRDM12	BIALLELIC, autosomal or pseudoautosomal
PRKN	BIALLELIC, autosomal or pseudoautosomal
PRKRA	BIALLELIC, autosomal or pseudoautosomal
RAB27A	BIALLELIC, autosomal or pseudoautosomal
RBM8A	BIALLELIC, autosomal or pseudoautosomal
RBM8A	Other - please specifiy in evaluation comments
RHEB	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RHEB	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ROR2	BIALLELIC, autosomal or pseudoautosomal
ROR2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SCN1B	BIALLELIC, autosomal or pseudoautosomal
SCN1B	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SCN1B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SCN1B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STAT5B	BIALLELIC, autosomal or pseudoautosomal
STAT5B	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
STAT5B	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TCOF1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TCOF1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
WDR34	BIALLELIC, autosomal or pseudoautosomal
WNT7A	BIALLELIC, autosomal or pseudoautosomal
XIAP	X-LINKED: hemizygous mutation in males, biallelic mutations in females
XIAP	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
XPC	BIALLELIC, autosomal or pseudoautosomal
ATP11A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
BFSP2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
BRSK1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CANT1	BIALLELIC, autosomal or pseudoautosomal
CDT1	BIALLELIC, autosomal or pseudoautosomal
CHRNA2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CHRNA2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CLCNKB	BIALLELIC, autosomal or pseudoautosomal
CNPY3	BIALLELIC, autosomal or pseudoautosomal
COLGALT1	BIALLELIC, autosomal or pseudoautosomal
CRYAA	BIALLELIC, autosomal or pseudoautosomal
CRYAA	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CRYBA1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CRYBA4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CRYBB1	BIALLELIC, autosomal or pseudoautosomal
CRYBB1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CRYBB2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CRYBB3	BIALLELIC, autosomal or pseudoautosomal
CRYBB3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CRYGC	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CRYGD	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DAP3	BIALLELIC, autosomal or pseudoautosomal
DROSHA	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EDNRA	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
EDNRA	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
